0	0.0022274	-0.0117387	0.0219294
1	0.0022622	-0.0053313	0.0244925
2	0.0033154	-0.0181597	0.0242393
3	0.0034219	-0.011085	0.0286977
4	0.0036069	-0.004656	0.0312289
5	0.0049452	-0.0161212	0.0331709
6	0.004971	-0.0225193	0.0293266
7	0.0053121	-0.0046288	0.0379177
8	0.0059006	-0.0114894	0.0385403
9	0.0068023	-0.0211886	0.0375424
10	0.0069536	-0.0271609	0.0340727
11	0.0073389	-0.0044273	0.0445134
12	0.0078469	-0.0170118	0.0429669
13	0.0083547	-0.011008	0.0463501
14	0.0090845	-0.0237783	0.04354
15	0.009241	-0.0319383	0.0384972
16	0.0097004	-0.0054946	0.0509099
17	0.0102437	-0.0181169	0.0493466
18	0.0108579	-0.0120869	0.0526898
19	0.0109335	-0.0302671	0.0450082
20	0.0120778	-0.0368986	0.0432944
21	0.0121176	-0.0244383	0.051467
22	0.0123373	-0.0048485	0.0572601
23	0.0135687	-0.0114314	0.0590293
24	0.0136528	-0.0202682	0.0567942
25	0.0136738	-0.0320502	0.0511321
26	0.0150314	-0.0412372	0.0477738
27	0.0152968	-0.0043945	0.0634808
28	0.0160154	-0.0304857	0.057432
29	0.0163805	-0.018113	0.0631675
30	0.0165414	-0.0247296	0.061208
31	0.0166568	-0.0369588	0.0549591
32	0.0022274	-0.023807	0.0072059
33	0.0022622	-0.0210886	0.013549
34	0.0033154	-0.0299806	0.0042989
35	0.0034219	-0.0281306	0.012454
36	0.0036069	-0.0253745	0.0187898
37	0.0049452	-0.0348548	0.0120559
38	0.004971	-0.0366606	0.0048134
39	0.0053121	-0.0300849	0.0235388
40	0.0059006	-0.0353763	0.0191279
41	0.0068023	-0.041529	0.0115639
42	0.0069536	-0.0432987	0.0048873
43	0.0073389	-0.0346063	0.0283451
44	0.0078469	-0.0424113	0.018353
45	0.0083547	-0.0405583	0.0249907
46	0.0090845	-0.0476012	0.0139737
47	0.009241	-0.0498055	0.0046378
48	0.0097004	-0.039884	0.0321135
49	0.0102437	-0.047704	0.0220827
50	0.0108579	-0.0458041	0.0287106
51	0.0109335	-0.0532276	0.0104236
52	0.0120778	-0.056705	0.0045225
53	0.0121176	-0.0536731	0.0191121
54	0.0123373	-0.0439174	0.0370606
55	0.0135687	-0.0498232	0.0336568
56	0.0136528	-0.0544914	0.0258278
57	0.0136738	-0.0588187	0.0134929
58	0.0150314	-0.0629403	0.004622
59	0.0152968	-0.047995	0.0417803
60	0.0160154	-0.0621672	0.0190539
61	0.0163805	-0.0574739	0.0318583
62	0.0165414	-0.0607671	0.0257941
63	0.0166568	-0.0649958	0.0127281
64	0.0022274	-0.0219294	-0.0117387
